
 displacements (vx,vy,vz) for set SENSOR and time  0.1718750E-02

      7572 -3.881696E-01 -5.237579E-02  2.800517E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.1757813E-02

      7572 -4.862601E-01 -8.989040E-03  2.759118E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.1796875E-02

      7572 -5.205131E-01 -1.225501E-01  2.745458E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.1835937E-02

      7572 -4.828726E-01 -2.232429E-01  2.842657E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.1875000E-02

      7572 -4.693315E-01 -1.695258E-01  3.044357E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.1914062E-02

      7572 -5.359127E-01 -1.364026E-02  3.254579E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.1953125E-02

      7572 -6.035426E-01  1.032402E-01  3.402987E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.1992187E-02

      7572 -5.454640E-01  1.380709E-01  3.465991E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2031250E-02

      7572 -3.462640E-01  1.570227E-01  3.413897E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2070312E-02

      7572 -1.307989E-01  2.002154E-01  3.253655E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2109375E-02

      7572 -3.524437E-02  2.198022E-01  3.096352E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2148437E-02

      7572 -8.785693E-02  1.631919E-01  3.057128E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2187500E-02

      7572 -2.255243E-01  5.552945E-02  3.102115E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2226562E-02

      7572 -3.775346E-01 -3.699393E-02  3.121597E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2265625E-02

      7572 -4.937823E-01 -9.146501E-02  3.139029E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2304687E-02

      7572 -5.339890E-01 -1.321705E-01  3.286320E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2343750E-02

      7572 -5.035754E-01 -1.643873E-01  3.550216E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2382812E-02

      7572 -4.926395E-01 -1.558657E-01  3.721481E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2421875E-02

      7572 -5.980127E-01 -1.020546E-01  3.677998E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2460937E-02

      7572 -7.814729E-01 -7.006654E-02  3.566310E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2500000E-02

      7572 -8.776909E-01 -1.335803E-01  3.585355E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2539062E-02

      7572 -7.883472E-01 -2.723200E-01  3.714307E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2578125E-02

      7572 -6.041629E-01 -3.811556E-01  3.800238E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2617187E-02

      7572 -4.713978E-01 -3.939835E-01  3.823483E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2656250E-02

      7572 -3.978373E-01 -3.613019E-01  3.900813E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2695312E-02

      7572 -2.860393E-01 -3.735565E-01  4.060685E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2734375E-02

      7572 -1.223894E-01 -4.365744E-01  4.188199E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2773437E-02

      7572 -1.032936E-02 -4.752392E-01  4.208123E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2812500E-02

      7572 -5.415680E-03 -4.558418E-01  4.176717E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2851562E-02

      7572 -3.914103E-02 -4.435851E-01  4.154222E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2890625E-02

      7572 -5.684828E-02 -5.101815E-01  4.113477E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2929687E-02

      7572 -1.201016E-01 -6.316764E-01  4.030386E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.2968750E-02

      7572 -2.805310E-01 -7.275033E-01  3.952140E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3007812E-02

      7572 -4.344962E-01 -7.741512E-01  3.900038E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3046875E-02

      7572 -4.285934E-01 -8.179931E-01  3.797253E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3085937E-02

      7572 -2.789307E-01 -8.764272E-01  3.585692E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3125000E-02

      7572 -1.601987E-01 -8.919455E-01  3.348620E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3164062E-02

      7572 -1.686822E-01 -8.166290E-01  3.217731E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3203125E-02

      7572 -2.119538E-01 -6.972055E-01  3.199252E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3242187E-02

      7572 -1.729567E-01 -6.277842E-01  3.192115E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3281250E-02

      7572 -7.905217E-02 -6.365122E-01  3.156766E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3320312E-02

      7572 -3.300091E-02 -6.643017E-01  3.159192E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3359375E-02

      7572 -4.871204E-02 -6.516761E-01  3.236216E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3398437E-02

      7572 -5.035352E-02 -6.037580E-01  3.314464E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3437500E-02

      7572 -1.799722E-03 -5.602782E-01  3.307796E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3476562E-02

      7572  5.544782E-02 -5.403234E-01  3.230408E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3515625E-02

      7572  8.943531E-02 -5.421114E-01  3.160813E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3554687E-02

      7572  1.187666E-01 -5.735476E-01  3.132843E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3593750E-02

      7572  1.464724E-01 -6.498650E-01  3.113652E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3632812E-02

      7572  1.235886E-01 -7.629405E-01  3.069996E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3671875E-02

      7572  2.086079E-02 -8.751098E-01  3.008242E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3710937E-02

      7572 -1.082325E-01 -9.496906E-01  2.947415E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3750000E-02

      7572 -1.832057E-01 -9.791200E-01  2.886428E+01

 displacements (vx,vy,vz) for set SENSOR and time  0.3789062E-02

